game_id,season_yr,game_date,team_schedule,win_flag,wins_to_date,losses_to_date,home_flag,home_team,home_score,away_team,away_score
400277738,2013,11/02/2012,ATL,0,0,1,1,ATL,102,HOU,109
400277760,2013,11/04/2012,ATL,1,1,1,0,OKC,95,ATL,104
400277775,2013,11/07/2012,ATL,1,2,1,1,ATL,89,IND,86
400277792,2013,11/09/2012,ATL,0,2,2,1,ATL,89,MIA,95
400277811,2013,11/11/2012,ATL,0,2,3,0,LAC,89,ATL,76
400277822,2013,11/12/2012,ATL,1,3,3,0,POR,87,ATL,95
400277838,2013,11/14/2012,ATL,0,3,4,0,GS,92,ATL,88
400277848,2013,11/16/2012,ATL,1,4,4,0,SAC,96,ATL,112
400277869,2013,11/19/2012,ATL,1,5,4,1,ATL,81,ORL,72
400277882,2013,11/21/2012,ATL,1,6,4,1,ATL,101,WSH,100
400277891,2013,11/23/2012,ATL,1,7,4,0,CHA,91,ATL,101
400277905,2013,11/24/2012,ATL,1,8,4,1,ATL,104,LAC,93
400277932,2013,11/28/2012,ATL,1,9,4,1,ATL,94,CHA,91
400277947,2013,11/30/2012,ATL,0,9,5,1,ATL,111,CLE,113
400277980,2013,12/05/2012,ATL,1,10,5,1,ATL,108,DEN,104
400277993,2013,12/07/2012,ATL,1,11,5,1,ATL,104,WSH,95
400278009,2013,12/08/2012,ATL,1,12,5,0,MEM,83,ATL,93
400278020,2013,12/10/2012,ATL,0,12,6,0,MIA,101,ATL,92
400278030,2013,12/12/2012,ATL,1,13,6,0,ORL,80,ATL,86
400278042,2013,12/13/2012,ATL,1,14,6,1,ATL,113,CHA,90
400278057,2013,12/15/2012,ATL,0,14,7,1,ATL,93,GS,115
400278076,2013,12/18/2012,ATL,1,15,7,0,WSH,95,ATL,100
400278091,2013,12/19/2012,ATL,0,15,8,1,ATL,92,OKC,100
400278101,2013,12/21/2012,ATL,0,15,9,0,PHI,99,ATL,80
400278111,2013,12/22/2012,ATL,1,16,9,1,ATL,92,CHI,75
400278134,2013,12/26/2012,ATL,1,17,9,1,ATL,126,DET,119
