game_id,season_yr,game_date,team_schedule,win_flag,wins_to_date,losses_to_date,home_flag,home_team,home_score,away_team,away_score,model1_game_pick,model1_game_pick_correct_flag,model1_game_win_flag,model1_game_loss_flag,model2_game_pick,model2_game_pick_correct_flag,model2_game_win_flag,model2_game_loss_flag,model3_game_pick,model3_game_pick_correct_flag,model3_game_win_flag,model3_game_loss_flag,model4_game_pick,model4_game_pick_correct_flag,model4_game_win_flag,model4_game_loss_flag,model3_this_t_mu,model3_this_t_sigma,model3_this_t_wt_pick,model3_other_t_mu,model3_other_t_sigma,model3_other_t_wt_pick,model4_this_t_mu,model4_this_t_sigma,model4_this_t_wt_pick,model4_other_t_mu,model4_other_t_sigma,model4_other_t_wt_pick
400488885,2014,10/30/2013,ATL,0,0,1,0,DAL,118,ATL,109,DAL,1,0,1,DAL,1,0,1,DAL,1,0,1,DAL,1,0,1,39.0,28.0,44.7764641309,52.0,26.0,99.841972798,39.0,28.0,-3.51986961766,52.0,26.0,6.40028595371
400488896,2014,11/01/2013,ATL,1,1,1,1,ATL,102,TOR,95,TOR,0,0,1,ATL,1,1,0,TOR,0,0,1,TOR,0,0,1,43.0,28.0,80.681957804,48.0,24.0,83.6248030005,43.0,28.0,35.2414575862,48.0,24.0,87.4798293632
400488919,2014,11/03/2013,ATL,0,1,2,0,LAL,105,ATL,103,ATL,0,1,0,LAL,1,0,1,ATL,0,1,0,LAL,1,0,1,39.0,28.0,12.0284215019,34.0,29.0,9.4030291517,39.0,28.0,46.4261013681,34.0,29.0,64.8717126737
400488932,2014,11/05/2013,ATL,1,2,2,0,SAC,100,ATL,105,ATL,1,1,0,ATL,1,1,0,SAC,0,0,1,ATL,1,1,0,39.0,28.0,37.2499656647,33.0,20.0,51.0362236644,39.0,28.0,58.5373254356,33.0,20.0,18.7321551295
400488944,2014,11/07/2013,ATL,0,2,3,0,DEN,109,ATL,107,DEN,1,0,1,ATL,0,1,0,DEN,1,0,1,DEN,1,0,1,39.0,28.0,31.8685774258,43.0,2.0,42.1078670962,39.0,28.0,21.0976357772,43.0,2.0,43.4589263005
400488959,2014,11/09/2013,ATL,1,3,3,1,ATL,104,ORL,94,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,43.0,28.0,57.8424416412,27.0,15.0,8.22122914262,43.0,28.0,36.8301040053,27.0,15.0,22.0807126572
400488971,2014,11/11/2013,ATL,1,4,3,0,CHA,94,ATL,103,CHA,0,0,1,ATL,1,1,0,CHA,0,0,1,CHA,0,0,1,39.0,28.0,35.8030166698,48.0,17.0,58.1786896438,39.0,28.0,40.3087179704,48.0,17.0,55.1626258426
400488989,2014,11/13/2013,ATL,0,4,4,1,ATL,91,NY,95,ATL,0,1,0,ATL,0,1,0,NY,1,0,1,ATL,0,1,0,43.0,28.0,33.7942472451,39.0,9.0,46.6525564377,43.0,28.0,99.1754408287,39.0,9.0,53.3270133783
400489000,2014,11/15/2013,ATL,1,5,4,1,ATL,113,PHI,103,ATL,1,1,0,ATL,1,1,0,ATL,1,1,0,PHI,0,0,1,43.0,28.0,77.8740023939,14.0,5.0,15.0403626164,43.0,28.0,-12.2170000242,14.0,5.0,15.5823136871
400489012,2014,11/16/2013,ATL,1,6,4,0,NY,90,ATL,110,NY,0,0,1,ATL,1,1,0,NY,0,0,1,ATL,1,1,0,39.0,28.0,-16.8459051535,43.0,9.0,33.7827583436,39.0,28.0,41.0619774837,43.0,9.0,24.647110092
