team_abbrv,sum_win,sum_loss,model1_sum_win,model1_sum_loss,model1_sum_error,model1_wt_pick_correct_flag,model2_sum_win,model2_sum_loss,model2_sum_error,model2_wt_pick_correct_flag,model3_sum_win,model3_sum_loss,model3_sum_error,model3_wt_pick_correct_flag,model3_this_t_mu_mean,model3_this_t_sigma_mean,model3_this_t_wt_pick_mean,model3_other_t_mu_mean,model3_other_t_sigma_mean,model3_other_t_wt_pick_mean,model4_sum_win,model4_sum_loss,model4_sum_error,model4_wt_pick_correct_flag,model4_this_t_mu_mean,model4_this_t_sigma_mean,model4_this_t_wt_pick_mean,model4_other_t_mu_mean,model4_other_t_sigma_mean,model4_other_t_wt_pick_mean
ATL,40.0,26.0,36.0,30.0,4.0,1.0,47.0,19.0,7.0,0.0,35.0,31.0,5.0,1.0,44.0,16.0,46.1536632198,40.9393939394,16.0,43.1481034814,44.0,22.0,4.0,0.0,44.0,16.0,44.9712355062,40.9393939394,16.0,38.895497733
BOS,39.0,27.0,55.0,11.0,16.0,0.0,35.0,31.0,4.0,1.0,43.0,23.0,4.0,1.0,52.0,16.0,52.0656866661,41.7575757576,16.0,42.337029153,43.0,23.0,4.0,1.0,52.0,16.0,50.0287988415,41.7575757576,16.0,39.3565164208
BKN,22.0,44.0,36.0,30.0,14.0,1.0,15.0,51.0,7.0,1.0,41.0,25.0,19.0,1.0,44.0,16.0,45.4351045065,40.9090909091,16.0,41.9330181428,34.0,32.0,12.0,1.0,44.0,16.0,45.3195633782,40.9090909091,16.0,42.3816861686
CHA,7.0,59.0,0.0,66.0,7.0,1.0,2.0,64.0,5.0,1.0,15.0,51.0,8.0,1.0,22.0,16.0,21.3977732151,41.3484848485,16.0,39.3853271643,12.0,54.0,5.0,1.0,22.0,16.0,20.2503578939,41.3484848485,16.0,43.5728249368
CHI,50.0,16.0,46.0,20.0,4.0,0.0,65.0,1.0,15.0,1.0,36.0,30.0,14.0,0.0,48.0,16.0,48.2034214236,41.0303030303,16.0,43.3194995299,48.0,18.0,2.0,1.0,48.0,16.0,49.757423287,41.0303030303,16.0,38.8879043486
CLE,21.0,45.0,18.0,48.0,3.0,1.0,18.0,48.0,3.0,1.0,27.0,39.0,6.0,1.0,33.0,16.0,33.7205238771,41.7121212121,16.0,43.2637206252,22.0,44.0,1.0,1.0,33.0,16.0,32.2725936377,41.7121212121,16.0,43.6564980488
DAL,36.0,30.0,36.0,30.0,0.0,1.0,42.0,24.0,6.0,1.0,35.0,31.0,1.0,1.0,46.0,16.0,45.3929195055,43.5757575758,16.0,41.3562781843,29.0,37.0,7.0,1.0,46.0,16.0,42.487931237,43.5757575758,16.0,45.9373680612
DEN,38.0,28.0,53.0,13.0,15.0,0.0,45.0,21.0,7.0,1.0,39.0,27.0,1.0,1.0,50.0,16.0,49.5002284881,41.6212121212,16.0,45.59838621,41.0,25.0,3.0,1.0,50.0,16.0,48.32346018,41.6212121212,16.0,41.3188927797
DET,25.0,41.0,19.0,47.0,6.0,1.0,16.0,50.0,9.0,1.0,21.0,45.0,4.0,1.0,33.0,16.0,31.0052023312,41.303030303,16.0,42.8929553555,29.0,37.0,4.0,1.0,33.0,16.0,31.3353399519,41.303030303,16.0,41.8385503456
GS,23.0,43.0,17.0,49.0,6.0,1.0,14.0,52.0,9.0,1.0,27.0,39.0,4.0,1.0,35.0,16.0,36.478955771,43.2878787879,16.0,42.0244311803,24.0,42.0,1.0,1.0,35.0,16.0,32.8206301544,43.2878787879,16.0,43.5486323502
HOU,34.0,32.0,9.0,57.0,25.0,0.0,39.0,27.0,5.0,1.0,19.0,47.0,15.0,0.0,31.0,16.0,29.2212285584,42.9242424242,16.0,42.2802826627,18.0,48.0,16.0,0.0,31.0,16.0,28.1106291873,42.9242424242,16.0,41.5609000387
IND,42.0,24.0,57.0,9.0,15.0,0.0,53.0,13.0,11.0,0.0,39.0,27.0,3.0,1.0,52.0,16.0,52.1657443723,40.6363636364,16.0,43.4818596374,35.0,31.0,7.0,1.0,52.0,16.0,48.8812047478,40.6363636364,16.0,43.420960702
LAC,40.0,26.0,48.0,18.0,8.0,1.0,45.0,21.0,5.0,1.0,39.0,27.0,1.0,1.0,49.0,16.0,50.0691460088,42.1060606061,16.0,41.4384735945,40.0,26.0,0.0,1.0,49.0,16.0,47.1737936281,42.1060606061,16.0,39.7516511906
LAL,41.0,25.0,65.0,1.0,24.0,0.0,48.0,18.0,7.0,1.0,56.0,10.0,15.0,1.0,61.0,16.0,64.2742639025,42.0454545455,16.0,41.8738597636,49.0,17.0,8.0,1.0,61.0,16.0,57.6609736036,42.0454545455,16.0,44.3716775124
MEM,41.0,25.0,47.0,19.0,6.0,1.0,36.0,30.0,5.0,1.0,34.0,32.0,7.0,1.0,49.0,16.0,47.8886923727,41.8787878788,16.0,43.6101473418,45.0,21.0,4.0,1.0,49.0,16.0,50.1772929475,41.8787878788,16.0,41.2709304983
MIA,46.0,20.0,65.0,1.0,19.0,0.0,59.0,7.0,13.0,1.0,51.0,15.0,5.0,1.0,61.0,16.0,59.0323217859,41.3181818182,16.0,40.2414309608,50.0,16.0,4.0,1.0,61.0,16.0,60.1412907917,41.3181818182,16.0,37.4408389503
MIL,31.0,35.0,30.0,36.0,1.0,1.0,24.0,42.0,7.0,1.0,30.0,36.0,1.0,1.0,37.0,16.0,36.913390314,40.9242424242,16.0,41.8235714415,32.0,34.0,1.0,1.0,37.0,16.0,40.2449562869,40.9242424242,16.0,39.9827713659
MIN,26.0,40.0,29.0,37.0,3.0,1.0,24.0,42.0,2.0,1.0,36.0,30.0,10.0,1.0,40.0,16.0,40.2625511409,42.5303030303,16.0,38.3487878874,36.0,30.0,10.0,1.0,40.0,16.0,38.9884717574,42.5303030303,16.0,38.3674968489
NO,21.0,45.0,3.0,63.0,18.0,1.0,6.0,60.0,15.0,1.0,17.0,49.0,4.0,1.0,26.0,16.0,27.8536150652,43.1818181818,16.0,44.9472449554,15.0,51.0,6.0,1.0,26.0,16.0,23.2662502492,43.1818181818,16.0,41.1396576611
NY,36.0,30.0,41.0,25.0,5.0,1.0,30.0,36.0,6.0,1.0,42.0,24.0,6.0,1.0,46.0,16.0,46.1198973043,40.8636363636,16.0,38.8994007374,40.0,26.0,4.0,1.0,46.0,16.0,44.2877804926,40.8636363636,16.0,39.3207516461
OKC,47.0,19.0,61.0,5.0,14.0,0.0,65.0,1.0,18.0,0.0,45.0,21.0,2.0,1.0,60.0,16.0,59.1491494719,41.6515151515,16.0,42.656238655,51.0,15.0,4.0,1.0,60.0,16.0,61.3011229289,41.6515151515,16.0,41.1940072064
