team_name,team_abbrv,team_url_name,team_url,win_total,tony_win_total_pick_flag,tony_win_total_confidence,tony_win_total_pick_num,andrew_win_total_pick_flag,andrew_win_total_confidence,andrew_win_total_pick_num
Atlanta Hawks,ATL,atlanta-hawks,http://espn.go.com/nba/team/_/name/atl/atlanta-hawks,40.5,o,3,,o,3,
Boston Celtics,BOS,boston-celtics,http://espn.go.com/nba/team/_/name/bos/boston-celtics,26.5,u,4,,u,10,
Brooklyn Nets,BKN,brooklyn-nets,http://espn.go.com/nba/team/_/name/bkn/brooklyn-nets,41.5,u,15,,u,7,
Charlotte Hornets,CHA,charlotte-hornets,http://espn.go.com/nba/team/_/name/cha/charlotte-hornets,45.5,o,14,,o,20,
Chicago Bulls,CHI,chicago-bulls,http://espn.go.com/nba/team/_/name/chi/chicago-bulls,55.5,o,21,,o,17,
Cleveland Cavaliers,CLE,cleveland-cavaliers,http://espn.go.com/nba/team/_/name/cle/cleveland-cavaliers,58.5,u,22,,u,28,
Dallas Mavericks,DAL,dallas-mavericks,http://espn.go.com/nba/team/_/name/dal/dallas-mavericks,49.5,o,5,,o,4,
Denver Nuggets,DEN,denver-nuggets,http://espn.go.com/nba/team/_/name/den/denver-nuggets,40.5,u,29,,u,18,
Detroit Pistons,DET,detroit-pistons,http://espn.go.com/nba/team/_/name/det/detroit-pistons,36.5,u,9,,u,21,
Golden State Warriors,GS,golden-state-warriors,http://espn.go.com/nba/team/_/name/gs/golden-state-warriors,50.5,o,8,,o,16,
Houston Rockets,HOU,houston-rockets,http://espn.go.com/nba/team/_/name/hou/houston-rockets,49.5,u,13,,o,23,
Indiana Pacers,IND,indiana-pacers,http://espn.go.com/nba/team/_/name/ind/indiana-pacers,32.5,u,30,,o,9,
Los Angeles Clippers,LAC,los-angeles-clippers,http://espn.go.com/nba/team/_/name/lac/los-angeles-clippers,55.5,o,6,,u,27,
Los Angeles Lakers,LAL,los-angeles-lakers,http://espn.go.com/nba/team/_/name/lal/los-angeles-lakers,31.5,u,2,,u,5,
Memphis Grizzlies,MEM,memphis-grizzlies,http://espn.go.com/nba/team/_/name/mem/memphis-grizzlies,48.5,o,19,,o,8,
Miami Heat,MIA,miami-heat,http://espn.go.com/nba/team/_/name/mia/miami-heat,43.5,o,12,,u,30,
Milwaukee Bucks,MIL,milwaukee-bucks,http://espn.go.com/nba/team/_/name/mil/milwaukee-bucks,24.5,o,28,,o,22,
Minnesota Timberwolves,MIN,minnesota-timberwolves,http://espn.go.com/nba/team/_/name/min/minnesota-timberwolves,25.5,u,10,,u,19,
New Orleans Pelicans,NO,new-orleans-pelicans,http://espn.go.com/nba/team/_/name/no/new-orleans-pelicans,41.5,u,25,,o,15,
New York Knicks,NY,new-york-knicks,http://espn.go.com/nba/team/_/name/ny/new-york-knicks,40.5,u,22,,u,26,
Oklahoma City Thunder,OKC,oklahoma-city-thunder,http://espn.go.com/nba/team/_/name/okc/oklahoma-city-thunder,57.5,u,1,,u,1,
Orlando Magic,ORL,orlando-magic,http://espn.go.com/nba/team/_/name/orl/orlando-magic,28.5,u,16,,u,11,
Philadelphia 76ers,PHI,philadelphia-76ers,http://espn.go.com/nba/team/_/name/phi/philadelphia-76ers,15.5,u,26,,u,25,
Phoenix Suns,PHX,phoenix-suns,http://espn.go.com/nba/team/_/name/phx/phoenix-suns,42.5,o,23,,u,12,
Portland Trail Blazers,POR,portland-trail-blazers,http://espn.go.com/nba/team/_/name/por/portland-trail-blazers,48.5,o,27,,u,6,
Sacramento Kings,SAC,sacramento-kings,http://espn.go.com/nba/team/_/name/sac/sacramento-kings,30.5,u,11,,o,29,
San Antonio Spurs,SA,san-antonio-spurs,http://espn.go.com/nba/team/_/name/sa/san-antonio-spurs,56.5,u,24,,u,2,
Toronto Raptors,TOR,toronto-raptors,http://espn.go.com/nba/team/_/name/tor/toronto-raptors,49.5,o,7,,u,24,
Utah Jazz,UTAH,utah-jazz,http://espn.go.com/nba/team/_/name/utah/utah-jazz,25.5,o,18,,o,14,
Washington Wizards,WSH,washington-wizards,http://espn.go.com/nba/team/_/name/wsh/washington-wizards,49.5,u,17,,o,13,
