team_name,team_abbrv,team_url_name,team_url
Atlanta Hawks,ATL,atlanta-hawks,http://espn.go.com/nba/team/_/name/atl/atlanta-hawks
Boston Celtics,BOS,boston-celtics,http://espn.go.com/nba/team/_/name/bos/boston-celtics
Brooklyn Nets,BKN,brooklyn-nets,http://espn.go.com/nba/team/_/name/bkn/brooklyn-nets
Charlotte Hornets,CHA,charlotte-hornets,http://espn.go.com/nba/team/_/name/cha/charlotte-hornets
Chicago Bulls,CHI,chicago-bulls,http://espn.go.com/nba/team/_/name/chi/chicago-bulls
Cleveland Cavaliers,CLE,cleveland-cavaliers,http://espn.go.com/nba/team/_/name/cle/cleveland-cavaliers
Dallas Mavericks,DAL,dallas-mavericks,http://espn.go.com/nba/team/_/name/dal/dallas-mavericks
Denver Nuggets,DEN,denver-nuggets,http://espn.go.com/nba/team/_/name/den/denver-nuggets
Detroit Pistons,DET,detroit-pistons,http://espn.go.com/nba/team/_/name/det/detroit-pistons
Golden State Warriors,GS,golden-state-warriors,http://espn.go.com/nba/team/_/name/gs/golden-state-warriors
Houston Rockets,HOU,houston-rockets,http://espn.go.com/nba/team/_/name/hou/houston-rockets
Indiana Pacers,IND,indiana-pacers,http://espn.go.com/nba/team/_/name/ind/indiana-pacers
Los Angeles Clippers,LAC,los-angeles-clippers,http://espn.go.com/nba/team/_/name/lac/los-angeles-clippers
Los Angeles Lakers,LAL,los-angeles-lakers,http://espn.go.com/nba/team/_/name/lal/los-angeles-lakers
Memphis Grizzlies,MEM,memphis-grizzlies,http://espn.go.com/nba/team/_/name/mem/memphis-grizzlies
Miami Heat,MIA,miami-heat,http://espn.go.com/nba/team/_/name/mia/miami-heat
Milwaukee Bucks,MIL,milwaukee-bucks,http://espn.go.com/nba/team/_/name/mil/milwaukee-bucks
Minnesota Timberwolves,MIN,minnesota-timberwolves,http://espn.go.com/nba/team/_/name/min/minnesota-timberwolves
New Orleans Pelicans,NO,new-orleans-pelicans,http://espn.go.com/nba/team/_/name/no/new-orleans-pelicans
New York Knicks,NY,new-york-knicks,http://espn.go.com/nba/team/_/name/ny/new-york-knicks
Oklahoma City Thunder,OKC,oklahoma-city-thunder,http://espn.go.com/nba/team/_/name/okc/oklahoma-city-thunder
Orlando Magic,ORL,orlando-magic,http://espn.go.com/nba/team/_/name/orl/orlando-magic
Philadelphia 76ers,PHI,philadelphia-76ers,http://espn.go.com/nba/team/_/name/phi/philadelphia-76ers
Phoenix Suns,PHX,phoenix-suns,http://espn.go.com/nba/team/_/name/phx/phoenix-suns
Portland Trail Blazers,POR,portland-trail-blazers,http://espn.go.com/nba/team/_/name/por/portland-trail-blazers
Sacramento Kings,SAC,sacramento-kings,http://espn.go.com/nba/team/_/name/sac/sacramento-kings
San Antonio Spurs,SA,san-antonio-spurs,http://espn.go.com/nba/team/_/name/sa/san-antonio-spurs
Toronto Raptors,TOR,toronto-raptors,http://espn.go.com/nba/team/_/name/tor/toronto-raptors
Utah Jazz,UTAH,utah-jazz,http://espn.go.com/nba/team/_/name/utah/utah-jazz
Washington Wizards,WSH,washington-wizards,http://espn.go.com/nba/team/_/name/wsh/washington-wizards
